filename,face_count
20250127_140019.jpg,26
20250128_141023.jpg,71
20250129_140057.jpg,39
20250130_141323.jpg,101
20250203_140357.jpg,39
20250204_140911.jpg,76
20250205_140142.jpg,32
20250206_140112.jpg,7
20250206_140117.jpg,40
20250213_140245.jpg,28
20250217_141434.jpg,43
20250218_140056.jpg,44
20250220_140011.jpg,25
20250224_140937.jpg,38
20250225_140144.jpg,33
20250226_140039.jpg,11
20250227_140124.jpg,42
20250305_140037.jpg,15
20250306_140157.jpg,29
20250311_140126.jpg,24
20250324_140038.jpg,10
20250325_140256.jpg,27
20250327_140119.jpg,33
20250331_140258.jpg,28
20250403_140914.jpg,29
20250408_145426.jpg,39
20250409_140012.jpg,17
20250410_140433.jpg,24
20250414_140302.jpg,20
20250421_140121.jpg,11
20250422_144045.jpg,39
20250423_140116.jpg,18
20250424_140044.jpg,17
20260203_140705.jpg,38
20260210_150123.jpg,43
20260217_140001.jpg,23
20260219_140032.jpg,19
20260303_150200.jpg,50
20260402_135832.jpg,18
20260409_140122.jpg,13
